id,name,specialization,contact,experience,phone_number
1,Dr. Rajiv Menon,Cardiologist,dr..rajiv.menon@example.in,14,+91 6490558848
2,Dr. Anjali Nair,Cardiologist,dr..anjali.nair@example.in,8,+91 9615368083
3,Dr. Karan Iyer,Cardiologist,dr..karan.iyer@example.in,18,+91 8681213152
4,Dr. Sneha Kapoor,Dermatologist,dr..sneha.kapoor@example.in,29,+91 7730497015
5,Dr. Vikram Sharma,Dermatologist,dr..vikram.sharma@example.in,20,+91 9096378578
6,Dr. Neha Reddy,Dermatologist,dr..neha.reddy@example.in,26,+91 7295071310
7,Dr. Arjun Rao,Neurologist,dr..arjun.rao@example.in,17,+91 6847311615
8,Dr. Meera Patel,Neurologist,dr..meera.patel@example.in,27,+91 8613594025
9,Dr. Sandeep Verma,Neurologist,dr..sandeep.verma@example.in,12,+91 8323923256
10,Dr. Rohit Malhotra,Orthopedic,dr..rohit.malhotra@example.in,5,+91 7419959960
11,Dr. Kavita Desai,Orthopedic,dr..kavita.desai@example.in,34,+91 8294875778
12,Dr. Nitin Joshi,Orthopedic,dr..nitin.joshi@example.in,24,+91 9569906399
13,Dr. Priya Mishra,Pediatrician,dr..priya.mishra@example.in,32,+91 6019045229
14,Dr. Amit Kulkarni,Pediatrician,dr..amit.kulkarni@example.in,13,+91 6988598427
15,Dr. Swati Jain,Pediatrician,dr..swati.jain@example.in,15,+91 9415253740
16,Dr. Rakesh Sinha,Psychiatrist,dr..rakesh.sinha@example.in,6,+91 8743255134
17,Dr. Divya Bhatt,Psychiatrist,dr..divya.bhatt@example.in,19,+91 9864831363
18,Dr. Tarun Khanna,Psychiatrist,dr..tarun.khanna@example.in,17,+91 8317712160
19,Dr. Manish Thakur,Oncologist,dr..manish.thakur@example.in,31,+91 6563961674
20,Dr. Preeti Singh,Oncologist,dr..preeti.singh@example.in,35,+91 7199906455
21,Dr. Alok Pandey,Oncologist,dr..alok.pandey@example.in,18,+91 7308020158
22,Dr. Shalini Batra,Gynecologist,dr..shalini.batra@example.in,10,+91 8550377270
23,Dr. Ritu Ahuja,Gynecologist,dr..ritu.ahuja@example.in,15,+91 6696375699
24,Dr. Deepak Agarwal,Gynecologist,dr..deepak.agarwal@example.in,4,+91 9684045878
25,Dr. Vandana Joshi,Endocrinologist,dr..vandana.joshi@example.in,7,+91 6188249102
26,Dr. Harsh Mehta,Endocrinologist,dr..harsh.mehta@example.in,7,+91 7795654817
27,Dr. Snehal Pawar,Endocrinologist,dr..snehal.pawar@example.in,32,+91 9281123011
28,Dr. Yashwant Rane,Ophthalmologist,dr..yashwant.rane@example.in,31,+91 9312981643
29,Dr. Anusha Pillai,Ophthalmologist,dr..anusha.pillai@example.in,30,+91 6509337002
30,Dr. Kunal Bhosale,Ophthalmologist,dr..kunal.bhosale@example.in,23,+91 7128272626
31,Dr. Rohan Shetty,ENT Specialist,dr..rohan.shetty@example.in,33,+91 7252236719
32,Dr. Ishita Ghosh,ENT Specialist,dr..ishita.ghosh@example.in,34,+91 6261779972
33,Dr. Ajay Bhaskar,ENT Specialist,dr..ajay.bhaskar@example.in,20,+91 6709735141
34,Dr. Bhavesh Patel,Urologist,dr..bhavesh.patel@example.in,27,+91 6257961750
35,Dr. Lata Iyer,Urologist,dr..lata.iyer@example.in,11,+91 7405106498
36,Dr. Ashok Raghavan,Urologist,dr..ashok.raghavan@example.in,23,+91 9895068970
37,Dr. Namrata Das,Gastroenterologist,dr..namrata.das@example.in,29,+91 6229512312
38,Dr. Mohan Krishnan,Gastroenterologist,dr..mohan.krishnan@example.in,32,+91 6970795431
39,Dr. Sheetal Jadhav,Gastroenterologist,dr..sheetal.jadhav@example.in,33,+91 8575350759
40,Dr. Farhan Qureshi,Pulmonologist,dr..farhan.qureshi@example.in,35,+91 9921432711
41,Dr. Shreya Chatterjee,Pulmonologist,dr..shreya.chatterjee@example.in,8,+91 8940870302
42,Dr. Prakash Bansal,Pulmonologist,dr..prakash.bansal@example.in,12,+91 8896777528
43,Dr. Revathi Menon,Rheumatologist,dr..revathi.menon@example.in,31,+91 9431465119
44,Dr. Deepesh Rao,Rheumatologist,dr..deepesh.rao@example.in,26,+91 8627522864
45,Dr. Ankit Saxena,Rheumatologist,dr..ankit.saxena@example.in,34,+91 8090043222
